
"id_pos","x","y","distancia","correct_x","correct_y","ap1","ap2","ap3","tempo"
"17","36","0","18.1962","0","16","-65","-55","-79","161"
"17","36","3","10.1529","0","16","-74","-59","-64","161"
"18","0","0","20.1248","0","16","-75","-47","-64","165"
"18","0","3","9.82913","0","16","-75","-56","-70","165"
"18","0","6","10.8519","0","16","-75","-55","-70","165"
"18","0","9","14.4898","0","16","-67","-61","-62","165"
"18","0","12","25.3969","0","16","-73","-41","-73","165"
"18","0","15","13.4907","0","16","-67","-65","-62","165"
"18","0","18","13.4536","0","16","-71","-65","-59","165"
"18","3","0","24.4041","0","16","-72","-52","-52","165"
"18","3","3","19.9438","0","16","-72","-63","-52","165"
"18","3","6","21.0725","0","16","-72","-58","-52","165"
"18","3","9","19.9043","0","16","-72","-69","-52","165"
"18","3","12","19.6527","0","16","-72","-66","-52","165"
"18","3","15","13.6097","0","16","-71","-64","-59","165"
"18","3","18","13.7477","0","16","-71","-69","-59","165"
"18","6","0","18.8992","0","16","-83","-48","-73","165"
"18","6","3","11","0","16","-83","-57","-73","165"
"18","9","0","17.6039","0","16","-83","-50","-73","165"
"18","9","3","11.4325","0","16","-83","-56","-73","165"
"18","12","0","19.7992","0","16","-83","-47","-73","165"
"18","12","3","22.708","0","16","-83","-44","-73","165"
"18","15","0","31.2188","0","16","-83","-35","-73","165"
"18","15","3","25.0599","0","16","-71","-42","-75","165"
"18","18","0","30.4442","0","16","-74","-37","-64","165"
"18","18","3","31.1363","0","16","-74","-36","-64","165"
"18","21","0","22.1593","0","16","-74","-45","-64","165"
"18","21","3","22.3383","0","16","-74","-45","-64","165"
"18","24","0","21.223","0","16","-74","-46","-64","165"
"18","24","3","21.6682","0","16","-74","-46","-64","165"
"18","27","0","24.2281","0","16","-74","-43","-64","165"
"18","27","3","21.1342","0","16","-74","-46","-64","165"
"18","30","0","13.7733","0","16","-74","-55","-64","165"
"18","30","3","20.9566","0","16","-74","-46","-64","165"
"18","33","0","21.8466","0","16","-74","-46","-64","165"
"18","33","3","9.69536","0","16","-74","-60","-64","165"
"18","36","0","18.1962","0","16","-65","-55","-79","165"
